roll_no,sub_code,internal_marks,external_marks,sgpa,total_marks
1783930003,REC753,80,0,8.46,80
1783930003,REC754,175,0,8.46,175
1783930004,RAS101,24,50,8.17,74
1783930004,RAS102,27,53,8.17,80
1783930004,RAS103,24,50,8.17,74
1783930004,RME101,23,56,8.17,79
1783930004,RCS101,21,31,8.17,52
1783930004,RAS152,48,47,8.17,95
1783930004,RME151,43,45,8.17,88
1783930004,RCS151,41,40,8.17,81
1783930004,RCE151,42,40,8.17,82
1783930004,RAS203,18,49,7.13,67
1783930004,RAS201,20,45,7.13,65
1783930004,REE201,27,49,7.13,76
1783930004,RAS204,20,31,7.13,51
1783930004,REC201,18,30,7.13,48
1783930004,RAS251,44,49,7.13,93
1783930004,REE251,48,50,7.13,98
1783930004,RAS254,40,45,7.13,85
1783930004,RME252,36,42,7.13,78
1783930004,RAS301,18,28,6.5,46
1783930004,RVE301,18,62,6.5,80
1783930004,REE305,21,35,6.5,56
1783930004,REC301,22,21,6.5,43
1783930004,REC302,19,35,6.5,54
1783930004,REC303,20,47,6.5,67
1783930004,REC351,38,41,6.5,79
1783930004,REC352,40,41,6.5,81
1783930004,REC353,46,41,6.5,87
1783930004,REC354,36,38,6.5,74
1783930004,ROE047,18,41,6.38,59
1783930004,RAS402,17,39,6.38,56
1783930004,REC401,16,38,6.38,54
1783930004,REC402,16,46,6.38,62
1783930004,REC403,17,35,6.38,52
1783930004,RCS406,12,37,6.38,49
1783930004,REC451,38,35,6.38,73
1783930004,REC452,32,36,6.38,68
1783930004,REC453,39,40,6.38,79
1783930004,RCS456,44,45,6.38,89
1783930004,RAS501,22,47,7.29,69
1783930004,RAS502,21,43,7.29,64
1783930004,REC501A,20,51,7.29,71
1783930004,REC502,21,37,7.29,58
1783930004,REC503,14,42,7.29,56
1783930004,REC051,17,56,7.29,73
1783930004,REC551,39,43,7.29,82
1783930004,REC552,45,41,7.29,86
1783930004,REC553,37,40,7.29,77
1783930004,REC554,38,42,7.29,80
1783930004,RAS601,27,49,7.58,76
1783930004,RUC601,24,47,7.58,71
1783930004,RIC603,16,41,7.58,57
1783930004,REC601,27,49,7.58,76
1783930004,REC602,18,43,7.58,61
1783930004,REC064,18,43,7.58,61
1783930004,REC651,47,44,7.58,91
1783930004,REC652,43,43,7.58,86
1783930004,RIC653,33,40,7.58,73
1783930004,RIC651,38,41,7.58,79
1783930004,ROE072,24,38,7.92,62
1783930004,REC072,27,30,7.92,57
1783930004,REC075,25,46,7.92,71
1783930004,REC701,28,32,7.92,60
1783930004,REC702,25,56,7.92,81
1783930004,REC751,47,48,7.92,95
1783930004,REC752,32,48,7.92,80
1783930004,REC753,80,0,7.92,80
1783930004,REC754,175,0,7.92,175
1783930005,RAS101,23,36,7.46,59
1783930005,RAS102,29,43,7.46,72
1783930005,RAS103,28,43,7.46,71
1783930005,RME101,24,30,7.46,54
1783930005,RCS101,24,45,7.46,69
1783930005,RAS152,49,48,7.46,97
